dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.002445,14.000000,0.002500,0.100000,2.000000,40.000000,6.283079
0.050000,1.012898,13.999996,0.012953,0.209066,2.181320,3.626406,6.282626
0.050000,1.033807,13.999975,0.033862,0.418183,4.182345,40.020504,6.281717
0.050000,1.065177,13.999908,0.065233,0.627404,4.184408,0.041258,6.280347
0.050000,1.107016,13.999750,0.107072,0.836780,4.187534,0.062507,6.278508
0.050000,1.159334,13.999445,0.159390,1.046368,4.191760,0.084524,6.276189
0.050000,1.222143,13.998918,0.222201,1.256225,4.197139,0.107577,6.273378
0.050000,1.295458,13.998077,0.295522,1.466412,4.203737,0.131969,6.270057
0.050000,1.379299,13.996815,0.379372,1.676994,4.211638,0.158023,6.266208
0.050000,1.473683,13.995006,0.473774,1.888041,4.220943,0.186100,6.261805
0.050000,1.578635,13.992501,0.578755,2.099630,4.231773,0.216595,6.256824
0.050000,1.694178,13.989132,0.694347,2.311843,4.244271,0.249957,6.251232
0.050000,1.820339,13.984707,0.820586,2.524774,4.258606,0.286690,6.244993
0.050000,1.957147,13.979006,0.957512,2.738522,4.274974,0.327364,6.238066
0.050000,2.104630,13.971784,1.105172,2.953203,4.293604,0.372616,6.230406
0.050000,2.262820,13.962760,1.263619,3.168941,4.314764,0.423184,6.221958
0.050000,2.431747,13.951620,1.432913,3.385879,4.338757,0.479876,6.212664
0.050000,2.611441,13.938009,1.613122,3.604176,4.365938,0.543617,6.202454
0.050000,2.801930,13.921529,1.804323,3.824011,4.396709,0.615407,6.191253
0.050000,3.003238,13.901730,2.006602,4.045587,4.431526,0.696346,6.178972
0.050000,3.212730,13.878420,2.217387,4.215700,3.402249,-20.585535,6.165685
0.050000,3.425096,13.851851,2.431408,4.280422,1.294444,-42.156097,6.151663
0.050000,3.637653,13.822160,2.646029,4.292423,0.240024,-21.088407,6.137039
0.050000,3.850366,13.789201,2.861280,4.305018,0.251897,0.237461,6.121786
0.050000,4.063190,13.752821,3.077192,4.318226,0.264154,0.245140,6.105873
0.050000,4.276075,13.712858,3.293795,4.332063,0.276735,0.251617,6.089267
0.050000,4.488960,13.669144,3.511122,4.346541,0.289559,0.256479,6.071938
0.050000,4.701776,13.621502,3.729205,4.361666,0.302519,0.259212,6.053851
0.050000,4.914441,13.569750,3.948077,4.377441,0.315481,0.259236,6.034976
0.050000,5.126863,13.513697,4.167770,4.393854,0.328275,0.255871,6.015280
0.050000,5.338933,13.453148,4.388314,4.410889,0.340692,0.248341,5.994731
0.050000,5.550528,13.387903,4.609740,4.428513,0.352481,0.235788,5.973301
0.050000,5.761506,13.317756,4.832074,4.446680,0.363345,0.217283,5.950963
0.050000,5.971708,13.242503,5.055340,4.465327,0.372938,0.191844,5.927691
0.050000,6.180952,13.161938,5.279559,4.484370,0.380862,0.158488,5.903467
0.050000,6.389036,13.075858,5.504744,4.503704,0.386676,0.116272,5.878276
0.050000,6.595731,12.984069,5.730904,4.523199,0.389895,0.064385,5.852110
0.050000,6.800787,12.886384,5.958039,4.542699,0.390007,0.002237,5.824968
0.050000,7.003927,12.782633,6.186140,4.562023,0.386485,-0.070442,5.796859
0.050000,7.204849,12.672663,6.415188,4.580964,0.378812,-0.153445,5.767803
0.050000,7.403229,12.556348,6.645153,4.599290,0.366513,-0.245996,5.737830
0.050000,7.598719,12.433590,6.875990,4.616749,0.349181,-0.346624,5.706983
0.050000,7.790955,12.304327,7.107644,4.633075,0.326527,-0.453090,5.675320
0.050000,7.979555,12.168535,7.340044,4.647995,0.298408,-0.562368,5.642910
0.050000,8.164134,12.026237,7.573106,4.661239,0.264873,-0.670716,5.609837
0.050000,8.344298,11.877501,7.806733,4.672548,0.226182,-0.773820,5.576199
0.050000,8.519665,11.722445,8.040817,4.681689,0.182829,-0.867062,5.542103
0.050000,8.689861,11.561239,8.275241,4.688466,0.135536,-0.945850,5.507668
0.050000,8.854536,11.394097,8.509877,4.692728,0.085236,-1.006010,5.473020
0.050000,9.013370,11.221283,8.744596,4.694379,0.033026,-1.044182,5.438289
0.050000,9.166077,11.043097,8.979265,4.693385,-0.019882,-1.058164,5.403608
0.050000,9.312416,10.859877,9.213754,4.689773,-0.072238,-1.047135,5.369108
0.050000,9.452193,10.671984,9.447936,4.683632,-0.122827,-1.011764,5.334915
0.050000,9.585261,10.479801,9.681691,4.675105,-0.170533,-0.954117,5.301149
0.050000,9.711526,10.283718,9.914910,4.664385,-0.214405,-0.877445,5.267919
