dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.002233,12.000000,0.002500,0.100000,2.000000,40.000000,6.283079
0.050000,1.011780,11.999997,0.012047,0.190934,1.818680,-3.626407,6.282626
0.050000,1.030871,11.999977,0.031138,0.381817,3.817654,39.979487,6.281717
0.050000,1.059500,11.999916,0.059767,0.572596,3.815590,-0.041272,6.280347
0.050000,1.097661,11.999772,0.097928,0.763219,3.812464,-0.062536,6.278508
0.050000,1.145342,11.999494,0.145610,0.953631,3.808236,-0.084559,6.276189
0.050000,1.202528,11.999014,0.202799,1.143774,3.802854,-0.107625,6.273378
0.050000,1.269203,11.998249,0.269478,1.333587,3.796253,-0.132030,6.270057
0.050000,1.345345,11.997104,0.345628,1.523004,3.788348,-0.158101,6.266208
0.050000,1.430927,11.995463,0.431226,1.711956,3.779038,-0.186196,6.261805
0.050000,1.525918,11.993195,0.526244,1.900366,3.768202,-0.216714,6.256824
0.050000,1.630281,11.990153,0.630652,2.088151,3.755697,-0.250105,6.251232
0.050000,1.743972,11.986165,0.744413,2.275218,3.741353,-0.286872,6.244993
0.050000,1.866939,11.981042,0.867486,2.461467,3.724974,-0.327584,6.238066
0.050000,1.999120,11.974569,0.999825,2.646784,3.706330,-0.372893,6.230406
0.050000,2.140442,11.966507,1.141377,2.831041,3.685153,-0.423521,6.221958
0.050000,2.290820,11.956591,1.292082,3.014098,3.661139,-0.480299,6.212664
0.050000,2.450154,11.944523,1.451872,3.195795,3.633932,-0.544135,6.202454
0.050000,2.618323,11.929975,1.620669,3.375951,3.603129,-0.616053,6.191253
0.050000,2.795188,11.912581,1.798388,3.554365,3.568272,-0.697146,6.178972
0.050000,2.978271,11.892210,1.982600,3.684242,2.597544,-19.414561,6.165685
0.050000,3.162808,11.869124,2.168575,3.719512,0.705407,-37.842739,6.151663
0.050000,3.346401,11.843480,2.353951,3.707505,-0.240139,-18.910907,6.137039
0.050000,3.528968,11.815194,2.538696,3.694904,-0.252023,-0.237679,6.121786
0.050000,3.710420,11.784178,2.722780,3.681690,-0.264291,-0.245375,6.105873
0.050000,3.890665,11.750344,2.906173,3.667846,-0.276885,-0.251875,6.089267
0.050000,4.069600,11.713604,3.088841,3.653359,-0.289723,-0.256751,6.071938
0.050000,4.247118,11.673866,3.270752,3.638224,-0.302698,-0.259509,6.053851
0.050000,4.423104,11.631042,3.451874,3.622441,-0.315676,-0.259553,6.034976
0.050000,4.597438,11.585042,3.632175,3.606016,-0.328486,-0.256204,6.015280
0.050000,4.769992,11.535779,3.811623,3.588970,-0.340920,-0.248690,5.994731
0.050000,4.940632,11.483165,3.990190,3.571334,-0.352728,-0.236151,5.973301
0.050000,5.109217,11.427117,4.167848,3.553153,-0.363611,-0.217652,5.950963
0.050000,5.275601,11.367554,4.344572,3.534492,-0.373221,-0.192215,5.927691
0.050000,5.439636,11.304399,4.520344,3.515434,-0.381164,-0.158847,5.903467
0.050000,5.601166,11.237582,4.695148,3.496084,-0.386994,-0.116612,5.878276
0.050000,5.760035,11.167035,4.868977,3.476573,-0.390229,-0.064692,5.852110
0.050000,5.916087,11.092699,5.041830,3.457055,-0.390353,-0.002489,5.824968
0.050000,6.069165,11.014521,5.213715,3.437713,-0.386841,0.070252,5.796859
0.050000,6.219115,10.932454,5.384653,3.418755,-0.379174,0.153344,5.767803
0.050000,6.365785,10.846462,5.554674,3.400411,-0.366873,0.246003,5.737830
0.050000,6.509033,10.756514,5.723820,3.382934,-0.349536,0.346757,5.706983
0.050000,6.648722,10.662589,5.892150,3.366591,-0.326867,0.453365,5.675320
0.050000,6.784723,10.564673,6.059733,3.351654,-0.298727,0.562799,5.642910
0.050000,6.916920,10.462760,6.226652,3.338396,-0.265162,0.671307,5.609837
0.050000,7.045208,10.356855,6.393006,3.327075,-0.226433,0.774573,5.576199
0.050000,7.169492,10.246968,6.558902,3.317923,-0.183035,0.867965,5.542103
0.050000,7.289690,10.133120,6.724459,3.311138,-0.135691,0.946883,5.507668
0.050000,7.405734,10.015340,6.889803,3.306872,-0.085334,1.007144,5.473020
0.050000,7.517566,9.893664,7.055064,3.305218,-0.033065,1.045383,5.438289
0.050000,7.625139,9.768143,7.220374,3.306214,0.019905,1.059387,5.403608
0.050000,7.728417,9.638833,7.385866,3.309830,0.072322,1.048343,5.369108
0.050000,7.827377,9.505806,7.551665,3.315978,0.122967,1.012912,5.334915
0.050000,7.922001,9.369141,7.717890,3.324514,0.170726,0.955168,5.301149
0.050000,8.012284,9.228931,7.884653,3.335247,0.214644,0.878371,5.267919
0.050000,8.098229,9.085282,8.052050,3.347946,0.253976,0.786630,5.235323
0.050000,8.179848,8.938306,8.220168,3.362356,0.288202,0.684521,5.203448
0.050000,8.257163,8.788129,8.389078,3.378207,0.317036,0.576674,5.172365
0.050000,8.330203,8.634884,8.558840,3.395228,0.340408,0.467449,5.142133
0.050000,8.399009,8.478711,8.729497,3.413150,0.358441,0.360659,5.112797
0.050000,8.463626,8.319758,8.901083,3.431720,0.371411,0.259408,5.084389
0.050000,8.524112,8.158172,9.073618,3.450706,0.379712,0.166005,5.056929
0.050000,8.580528,7.994106,9.247113,3.469897,0.383813,0.082017,5.030429
0.050000,8.632945,7.827711,9.421569,3.489108,0.384226,0.008270,5.004889
0.050000,8.681441,7.659139,9.596978,3.508182,0.381477,-0.054975,4.980303
0.050000,8.726095,7.488537,9.773327,3.526986,0.376081,-0.107927,4.956656
0.050000,8.766995,7.316049,9.950598,3.545412,0.368523,-0.151166,4.933931
0.050000,8.804231,7.141815,10.128766,3.563374,0.359249,-0.185471,4.912103
0.050000,8.837896,6.965968,10.307807,3.580807,0.348660,-0.211780,4.891147
0.050000,8.868085,6.788637,10.487690,3.597663,0.337107,-0.231058,4.871033
0.050000,8.894895,6.609941,10.668385,3.613907,0.324892,-0.244303,4.851731
0.050000,8.918422,6.429997,10.849861,3.629521,0.312270,-0.252440,4.833210
0.050000,8.938765,6.248911,11.032086,3.644494,0.299453,-0.256333,4.815437
0.050000,8.956019,6.066785,11.215027,3.658824,0.286615,-0.256768,4.798380
0.050000,8.970281,5.883714,11.398653,3.672519,0.273894,-0.254416,4.782008
0.050000,8.981644,5.699785,11.582933,3.685589,0.261399,-0.249904,4.766290
0.050000,8.990201,5.515081,11.767835,3.698050,0.249214,-0.243705,4.751194
0.050000,8.996044,5.329677,11.953331,3.709920,0.237400,-0.236269,4.736691
0.050000,8.999260,5.143644,12.139392,3.721220,0.226003,-0.227953,4.722754
0.050000,9.000135,4.948804,12.334234,3.896842,3.512448,65.728913,4.717697
0.050000,9.004184,4.722890,12.560184,4.518993,12.443018,178.611400,4.743653
0.050000,9.014990,4.491412,12.791914,4.634603,2.312187,-202.616629,4.775393
